Id,Tipo,Nombre,Habilidad,Ataque,Edad,Arma
1,Guerrero,Link,Maestría con la espada,70,17,Espada Maestra
2,Guerrero,Zelda,Magia de luz,40,20,Báculo de Luz
3,Guerrero,Impa,Sigilo ninja,45,50,Hojas Gemelas Sheikah
4,Guerrero,Mipha,Curación acuática,35,25,Lanza del Dominio Zora
5,Guerrero,Daruk,Resistencia rocosa,55,45,Escudo del Talión
6,Guerrero,Urbosa,Furia del desierto,60,38,Espada de los Segadores
7,Guerrero,Revali,Precisión aérea,70,27,Arco del Valle
8,Guerrero,Sidon,Dominio del agua,50,22,Lanza Zora
9,Enemigo,Ganondorf,Poder oscuro supremo,70,2000,Espada Maldita
10,Enemigo,Bokoblin Rojo,Emboscada furtiva,10,50,Mazo Oxidado
11,Enemigo,Bokoblin Azul,Agilidad esquiva,15,60,Lanza de Hierro
12,Enemigo,Moblin,Fuerza bruta,25,70,Gran Mazo
13,Enemigo,Stalfos,Regeneración ósea,30,200,Espada de Hueso
14,Enemigo,Lynel,Embestida imparable,45,150,Hacha de Guerra Lynel
15,Enemigo,Hinox,Resistencia titánica,60,500,Mazo Gigante